aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,창신쌍용1,1992, , , ,"31,000",3,1,2020, , ,54.7,5,702,N, ,11110, ,창신동
 ,삼성,1998, , , ,"53,000",13,1,2020, , ,84.93,6,596,N, ,11110, ,평창동
 ,광화문스페이스본(106동),2008, , , ,"162,000",2,1,2020, , ,163.33,2,9-1,N, ,11110, ,사직동
 ,한빛,1999, , , ,"34,500",10,1,2020, , ,59.73,4,1-30,N, ,11110, ,명륜3가
 ,창신쌍용1,1992, , , ,"68,500",19,1,2020, , ,106.62,1,702,N, ,11110, ,창신동
 ,덕산,1999, , , ,"25,500",21,1,2020, , ,59.28,3,639-50,N, ,11110, ,창신동
 ,현대,2000, , , ,"79,000",18,1,2020, , ,60.0,3,82,N, ,11110, ,무악동
 ,종로센트레빌,2008, , , ,"84,500",18,1,2020, , ,84.92,11,2-1,N, ,11110, ,숭인동
 ,덕산,1999, , , ,"33,000",9,1,2020, , ,59.22,2,639-50,N, ,11110, ,창신동
 ,효성쥬얼리시티,2006, , , ,"84,800",30,1,2020, , ,106.81,11,48-2,N, ,11110, ,인의동
 ,삼성,1998, , , ,"39,000",18,2,2020, , ,59.97,12,596,N, ,11110, ,평창동
 ,광화문스페이스본(101동~105동),2008, , , ,"98,000",27,2,2020, , ,70.8,4,9,N, ,11110, ,사직동
 ,MID그린(8동),2002, , , ,"28,000",13,2,2020, , ,59.94,4,602-1,N, ,11110, ,창신동
 ,광화문스페이스본(101동~105동),2008, , , ,"115,000",5,2,2020, , ,94.51,3,9,N, ,11110, ,사직동
 ,롯데낙천대,2001, , , ,"79,000",14,2,2020, , ,110.53,9,72,N, ,11110, ,평창동
 ,삼성,1998, , , ,"49,800",17,2,2020, , ,84.93,2,596,N, ,11110, ,평창동
 ,현대,2000, , , ,"94,990",29,2,2020, , ,84.92,11,82,N, ,11110, ,무악동
 ,형우럭스빌(33-1),2005, , , ,"70,000",17,2,2020, , ,128.26,6,33-1,N, ,11110, ,평창동
 ,현대,2000, , , ,"66,000",27,2,2020, , ,60.0,2,82,N, ,11110, ,무악동
 ,세종로대우,1994, , , ,"61,500",20,2,2020, , ,66.96,12,167,N, ,11110, ,내수동
 ,현대,2000, , , ,"70,910",6,3,2020, , ,60.0,10,82,N, ,11110, ,무악동
 ,청운현대,2000, , , ,"85,000",18,3,2020, , ,84.51,3,56-45,N, ,11110, ,청운동
 ,숭인상가,1979, , , ,"41,000",31,3,2020, , ,78.75,5,204-11,N, ,11110, ,숭인동
 ,삼성,1998, , , ,"44,000",28,3,2020, , ,59.97,11,596,N, ,11110, ,평창동
 ,엘리시아,2009, , , ,"75,110",26,3,2020, , ,200.19,5,66-1,N, ,11110, ,평창동
 ,삼전솔하임4차,2014, , , ,"12,500",27,3,2020, , ,15.09,10,318-2,N, ,11110, ,숭인동
 ,종로센트레빌,2008, , , ,"72,400",17,3,2020, , ,59.92,6,2-1,N, ,11110, ,숭인동
 ,종로센트레빌,2008, , , ,"88,000",14,3,2020, , ,84.92,5,2-1,N, ,11110, ,숭인동
 ,창신쌍용2,1993, , , ,"57,300",31,3,2020, , ,79.87,4,703,N, ,11110, ,창신동
 ,숭인상가,1979, , , ,"38,500",20,3,2020, , ,78.75,4,204-11,N, ,11110, ,숭인동
 ,밀레니엄,2017, , , ,"59,900",26,4,2020, , ,84.41,2,179-5,N, ,11110, ,평창동
 ,롯데미도파광화문빌딩,1981, , , ,"50,200",30,4,2020, , ,65.79,8,145,N, ,11110, ,당주동
 ,포레스트힐시티,2017, , , ,"22,500",29,4,2020, , ,20.3861,6,65-2,N, ,11110, ,효제동
 ,일우,2002, , , ,"31,000",21,4,2020, , ,59.3,4,602,N, ,11110, ,창신동
 ,광화문스페이스본(101동~105동),2008, , , ,"145,000",16,4,2020, , ,145.53,14,9,N, ,11110, ,사직동
 ,효성쥬얼리시티,2006, , , ,"66,500",29,4,2020, , ,84.64,10,48-2,N, ,11110, ,인의동
 ,두산,1999, , , ,"62,300",17,4,2020, , ,59.95,5,232,N, ,11110, ,창신동
 ,삼성,1998, , , ,"44,000",20,4,2020, , ,59.97,7,596,N, ,11110, ,평창동
 ,삼성,1998, , , ,"42,900",17,4,2020, , ,59.97,9,596,N, ,11110, ,평창동
 ,브라운스톤창신,2006, , , ,"69,700",20,4,2020, , ,84.67,14,23-76,N, ,11110, ,창신동
 ,광화문스페이스본(101동~105동),2008, , , ,"114,000",30,5,2020, , ,94.51,4,9,N, ,11110, ,사직동
 ,종로센트레빌,2008, , , ,"71,500",29,5,2020, , ,59.92,11,2-1,N, ,11110, ,숭인동
