법정동,지번,단지명,거래연도,전용면적,구별,가격,주소지,위도,경도
창신동,702,창신쌍용1,2020,54.7,종로구,3.1,종로구 창신동 702,37.580608522370845,127.01392589440962
평창동,596,삼성,2020,84.93,종로구,5.3,종로구 평창동 596,37.61098715710314,126.97872377604011
사직동,9-1,광화문스페이스본(106동),2020,163.33,종로구,16.2,종로구 사직동 9-1,37.57352811498593,126.96777853037449
명륜3가,1-30,한빛,2020,59.73,종로구,3.45,종로구 명륜3가 1-30,37.589421087903276,126.99491449391935
창신동,702,창신쌍용1,2020,106.62,종로구,6.85,종로구 창신동 702,37.580608522370845,127.01392589440962
창신동,639-50,덕산,2020,59.28,종로구,2.55,종로구 창신동 639-50,37.57613062386072,127.00991626289249
무악동,82,현대,2020,60.0,종로구,7.9,종로구 무악동 82,37.57563067257642,126.96106041397948
숭인동,2-1,종로센트레빌,2020,84.92,종로구,8.45,종로구 숭인동 2-1,37.58073815128111,127.01614473662411
창신동,639-50,덕산,2020,59.22,종로구,3.3,종로구 창신동 639-50,37.57613062386072,127.00991626289249
인의동,48-2,효성쥬얼리시티,2020,106.81,종로구,8.48,종로구 인의동 48-2,37.5715577580436,126.99871769985972
평창동,596,삼성,2020,59.97,종로구,3.9,종로구 평창동 596,37.61098715710314,126.97872377604011
사직동,9,광화문스페이스본(101동~105동),2020,70.8,종로구,9.8,종로구 사직동 9,37.574358879492024,126.96884982820754
창신동,602-1,MID그린(8동),2020,59.94,종로구,2.8,종로구 창신동 602-1,37.57735363737952,127.00989165904268
사직동,9,광화문스페이스본(101동~105동),2020,94.51,종로구,11.5,종로구 사직동 9,37.574358879492024,126.96884982820754
평창동,72,롯데낙천대,2020,110.53,종로구,7.9,종로구 평창동 72,37.609248836500115,126.9757809976386
평창동,596,삼성,2020,84.93,종로구,4.98,종로구 평창동 596,37.61098715710314,126.97872377604011
무악동,82,현대,2020,84.92,종로구,9.499,종로구 무악동 82,37.57563067257642,126.96106041397948
평창동,33-1,형우럭스빌(33-1),2020,128.26,종로구,7.0,종로구 평창동 33-1,37.60754089888115,126.97339314470165
무악동,82,현대,2020,60.0,종로구,6.6,종로구 무악동 82,37.57563067257642,126.96106041397948
내수동,167,세종로대우,2020,66.96,종로구,6.15,종로구 내수동 167,37.572761109844066,126.9732902016145
무악동,82,현대,2020,60.0,종로구,7.091,종로구 무악동 82,37.57563067257642,126.96106041397948
청운동,56-45,청운현대,2020,84.51,종로구,8.5,종로구 청운동 56-45,37.58626654565229,126.96739337062213
숭인동,204-11,숭인상가,2020,78.75,종로구,4.1,종로구 숭인동 204-11,37.572133340642495,127.02054294390143
평창동,596,삼성,2020,59.97,종로구,4.4,종로구 평창동 596,37.61098715710314,126.97872377604011
평창동,66-1,엘리시아,2020,200.19,종로구,7.511,종로구 평창동 66-1,37.609683903852755,126.97591575962889
숭인동,318-2,삼전솔하임4차,2020,15.09,종로구,1.25,종로구 숭인동 318-2,37.571352156698694,127.01671713697579
숭인동,2-1,종로센트레빌,2020,59.92,종로구,7.24,종로구 숭인동 2-1,37.58073815128111,127.01614473662411
숭인동,2-1,종로센트레빌,2020,84.92,종로구,8.8,종로구 숭인동 2-1,37.58073815128111,127.01614473662411
창신동,703,창신쌍용2,2020,79.87,종로구,5.73,종로구 창신동 703,37.58022725779988,127.01175821811682
숭인동,204-11,숭인상가,2020,78.75,종로구,3.85,종로구 숭인동 204-11,37.572133340642495,127.02054294390143
평창동,179-5,밀레니엄,2020,84.41,종로구,5.99,종로구 평창동 179-5,37.607001766045755,126.96760510633317
당주동,145,롯데미도파광화문빌딩,2020,65.79,종로구,5.02,종로구 당주동 145,37.57133834814982,126.97370531489901
효제동,65-2,포레스트힐시티,2020,20.3861,종로구,2.25,종로구 효제동 65-2,37.574218099641946,127.00183224364505
창신동,602,일우,2020,59.3,종로구,3.1,종로구 창신동 602,37.57732619406297,127.0096962805799
사직동,9,광화문스페이스본(101동~105동),2020,145.53,종로구,14.5,종로구 사직동 9,37.574358879492024,126.96884982820754
인의동,48-2,효성쥬얼리시티,2020,84.64,종로구,6.65,종로구 인의동 48-2,37.5715577580436,126.99871769985972
