법정동,지번,단지명,건축년도,거래연도,거래월,거래일,지역코드,층,전용면적,거래금액,구별,가격
창신동,702,창신쌍용1,1992,2020,1,3,11110,5,54.7,31000,종로구,3.1
평창동,596,삼성,1998,2020,1,13,11110,6,84.93,53000,종로구,5.3
사직동,9-1,광화문스페이스본(106동),2008,2020,1,2,11110,2,163.33,162000,종로구,16.2
명륜3가,1-30,한빛,1999,2020,1,10,11110,4,59.73,34500,종로구,3.45
창신동,702,창신쌍용1,1992,2020,1,19,11110,1,106.62,68500,종로구,6.85
창신동,639-50,덕산,1999,2020,1,21,11110,3,59.28,25500,종로구,2.55
무악동,82,현대,2000,2020,1,18,11110,3,60.0,79000,종로구,7.9
숭인동,2-1,종로센트레빌,2008,2020,1,18,11110,11,84.92,84500,종로구,8.45
창신동,639-50,덕산,1999,2020,1,9,11110,2,59.22,33000,종로구,3.3
인의동,48-2,효성쥬얼리시티,2006,2020,1,30,11110,11,106.81,84800,종로구,8.48
평창동,596,삼성,1998,2020,2,18,11110,12,59.97,39000,종로구,3.9
사직동,9,광화문스페이스본(101동~105동),2008,2020,2,27,11110,4,70.8,98000,종로구,9.8
창신동,602-1,MID그린(8동),2002,2020,2,13,11110,4,59.94,28000,종로구,2.8
사직동,9,광화문스페이스본(101동~105동),2008,2020,2,5,11110,3,94.51,115000,종로구,11.5
평창동,72,롯데낙천대,2001,2020,2,14,11110,9,110.53,79000,종로구,7.9
평창동,596,삼성,1998,2020,2,17,11110,2,84.93,49800,종로구,4.98
무악동,82,현대,2000,2020,2,29,11110,11,84.92,94990,종로구,9.499
평창동,33-1,형우럭스빌(33-1),2005,2020,2,17,11110,6,128.26,70000,종로구,7.0
무악동,82,현대,2000,2020,2,27,11110,2,60.0,66000,종로구,6.6
내수동,167,세종로대우,1994,2020,2,20,11110,12,66.96,61500,종로구,6.15
무악동,82,현대,2000,2020,3,6,11110,10,60.0,70910,종로구,7.091
청운동,56-45,청운현대,2000,2020,3,18,11110,3,84.51,85000,종로구,8.5
숭인동,204-11,숭인상가,1979,2020,3,31,11110,5,78.75,41000,종로구,4.1
평창동,596,삼성,1998,2020,3,28,11110,11,59.97,44000,종로구,4.4
평창동,66-1,엘리시아,2009,2020,3,26,11110,5,200.19,75110,종로구,7.511
숭인동,318-2,삼전솔하임4차,2014,2020,3,27,11110,10,15.09,12500,종로구,1.25
숭인동,2-1,종로센트레빌,2008,2020,3,17,11110,6,59.92,72400,종로구,7.24
숭인동,2-1,종로센트레빌,2008,2020,3,14,11110,5,84.92,88000,종로구,8.8
창신동,703,창신쌍용2,1993,2020,3,31,11110,4,79.87,57300,종로구,5.73
숭인동,204-11,숭인상가,1979,2020,3,20,11110,4,78.75,38500,종로구,3.85
평창동,179-5,밀레니엄,2017,2020,4,26,11110,2,84.41,59900,종로구,5.99
당주동,145,롯데미도파광화문빌딩,1981,2020,4,30,11110,8,65.79,50200,종로구,5.02
효제동,65-2,포레스트힐시티,2017,2020,4,29,11110,6,20.3861,22500,종로구,2.25
창신동,602,일우,2002,2020,4,21,11110,4,59.3,31000,종로구,3.1
사직동,9,광화문스페이스본(101동~105동),2008,2020,4,16,11110,14,145.53,145000,종로구,14.5
인의동,48-2,효성쥬얼리시티,2006,2020,4,29,11110,10,84.64,66500,종로구,6.65
창신동,232,두산,1999,2020,4,17,11110,5,59.95,62300,종로구,6.23
평창동,596,삼성,1998,2020,4,20,11110,7,59.97,44000,종로구,4.4
평창동,596,삼성,1998,2020,4,17,11110,9,59.97,42900,종로구,4.29
창신동,23-76,브라운스톤창신,2006,2020,4,20,11110,14,84.67,69700,종로구,6.97
사직동,9,광화문스페이스본(101동~105동),2008,2020,5,30,11110,4,94.51,114000,종로구,11.4
숭인동,2-1,종로센트레빌,2008,2020,5,29,11110,11,59.92,71500,종로구,7.15
창신동,702,창신쌍용1,1992,2020,5,31,11110,6,54.7,52600,종로구,5.26
무악동,82,현대,2000,2020,5,29,11110,7,60.0,72000,종로구,7.2
홍파동,199,경희궁자이(2단지),2017,2020,5,27,11110,14,84.99,155000,종로구,15.5
무악동,60,인왕산아이파크,2008,2020,5,25,11110,13,84.858,118500,종로구,11.85
평창동,596,삼성,1998,2020,5,29,11110,14,59.97,42800,종로구,4.28
평창동,72,롯데낙천대,2001,2020,5,26,11110,5,110.53,85000,종로구,8.5
무악동,82,현대,2000,2020,5,16,11110,12,60.0,72990,종로구,7.299
평동,233,경희궁자이(3단지),2017,2020,5,30,11110,15,77.654,154000,종로구,15.4
평창동,66-1,엘리시아,2009,2020,6,19,11110,5,200.19,80000,종로구,8.0
평창동,66-1,엘리시아,2009,2020,6,17,11110,3,200.19,85000,종로구,8.5
무악동,82,현대,2000,2020,6,30,11110,4,114.9,110900,종로구,11.09
신교동,6-11,신현(102동),2002,2020,6,30,11110,5,134.66,100000,종로구,10.0
인의동,48-2,효성쥬얼리시티,2006,2020,6,30,11110,19,169.86,124000,종로구,12.4
무악동,60,인왕산아이파크,2008,2020,6,27,11110,9,84.858,120000,종로구,12.0
사직동,9,광화문스페이스본(101동~105동),2008,2020,6,24,11110,14,94.51,130000,종로구,13.0
홍파동,199,경희궁자이(2단지),2017,2020,6,30,11110,19,84.9071,162500,종로구,16.25
홍파동,199,경희궁자이(2단지),2017,2020,6,22,11110,4,84.99,160000,종로구,16.0
홍파동,199,경희궁자이(2단지),2017,2020,6,27,11110,7,84.614,172000,종로구,17.2
무악동,60,인왕산아이파크,2008,2020,7,3,11110,9,84.858,123000,종로구,12.3
청운동,56-45,청운현대,2000,2020,7,9,11110,3,84.51,89500,종로구,8.95
숭인동,766,종로청계힐스테이트,2009,2020,7,22,11110,10,59.9426,78200,종로구,7.82
명륜2가,237,명륜동주상복합아남아파트,1999,2020,7,27,11110,7,172.17,149900,종로구,14.99
숭인동,766,종로청계힐스테이트,2009,2020,7,25,11110,13,84.9478,95000,종로구,9.5
사직동,9,광화문스페이스본(101동~105동),2008,2020,7,29,11110,12,121.37,149500,종로구,14.95
창신동,702,창신쌍용1,1992,2020,7,24,11110,11,54.7,55000,종로구,5.5
무악동,60,인왕산아이파크,2008,2020,7,25,11110,14,84.858,120700,종로구,12.07
평동,233,경희궁자이(3단지),2017,2020,7,25,11110,6,84.836,165500,종로구,16.55
인의동,48-2,효성쥬얼리시티,2006,2020,7,20,11110,9,106.81,84500,종로구,8.45
홍파동,199,경희궁자이(2단지),2017,2020,8,29,11110,8,84.836,170000,종로구,17.0
평창동,46-1,크래스빌,2003,2020,8,31,11110,1,187.9,90000,종로구,9.0
평창동,596,삼성,1998,2020,8,28,11110,3,84.93,59000,종로구,5.9
창신동,328-17,동대문,1966,2020,8,21,11110,2,28.8,42000,종로구,4.2
창신동,703,창신쌍용2,1993,2020,8,19,11110,2,54.7,58500,종로구,5.85
창신동,23-816,창신이수,2003,2020,8,22,11110,7,120.84,88700,종로구,8.87
평동,233,경희궁자이(3단지),2017,2020,8,20,11110,11,84.944,177500,종로구,17.75
무악동,60,인왕산아이파크,2008,2020,8,28,11110,14,84.858,121000,종로구,12.1
홍파동,199,경희궁자이(2단지),2017,2020,8,28,11110,5,84.934,160000,종로구,16.0
숭인동,766,종로청계힐스테이트,2009,2020,8,31,11110,4,59.9426,79500,종로구,7.95
내수동,72,경희궁의아침3단지,2004,2020,9,30,11110,7,150.48,165000,종로구,16.5
창신동,703,창신쌍용2,1993,2020,9,5,11110,12,79.87,71500,종로구,7.15
평창동,595,갑을아파트,1997,2020,9,29,11110,13,53.33,32000,종로구,3.2
교북동,126,경희궁자이(4단지),2017,2020,9,28,11110,8,45.879,102000,종로구,10.2
신문로2가,171,디팰리스,2020,2020,9,23,11110,17,148.111,321000,종로구,32.1
명륜1가,33-85,리치캐슬아파트,2003,2020,9,19,11110,1,71.31,48000,종로구,4.8
교북동,101,동아,1995,2020,9,20,11110,4,99.29,87700,종로구,8.77
홍파동,199,경희궁자이(2단지),2017,2020,9,25,11110,4,84.836,177000,종로구,17.7
동숭동,4-161,동성아파트(1동),1999,2020,9,28,11110,3,57.96,24750,종로구,2.475
무악동,82,현대,2000,2020,9,16,11110,23,84.92,109490,종로구,10.949
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,4,16.17,10608,종로구,1.0608
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,4,16.17,10608,종로구,1.0608
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,6,114.05,56588,종로구,5.6588
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,6,31.68,18814,종로구,1.8814
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,15.79,10478,종로구,1.0478
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,16.17,10608,종로구,1.0608
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,16.17,10608,종로구,1.0608
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,21.37,13619,종로구,1.3619
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,17.9,11390,종로구,1.139
연지동,36-1,하이텍하우스,2011,2020,10,18,11110,5,16.17,10608,종로구,1.0608
교북동,126,경희궁자이(4단지),2017,2020,11,28,11110,18,45.879,109000,종로구,10.9
무악동,82,현대,2000,2020,11,29,11110,4,114.9,118450,종로구,11.845
익선동,55,현대뜨레비앙,2003,2020,11,28,11110,4,48.54,32000,종로구,3.2
평동,233,경희궁자이(3단지),2017,2020,11,28,11110,6,84.836,180000,종로구,18.0
무악동,60,인왕산아이파크,2008,2020,11,28,11110,13,84.858,127000,종로구,12.7
무악동,60,인왕산아이파크,2008,2020,11,27,11110,6,84.858,123000,종로구,12.3
숭인동,766,종로청계힐스테이트,2009,2020,11,29,11110,6,59.9426,82000,종로구,8.2
교북동,126,경희궁자이(4단지),2017,2020,11,18,11110,10,45.879,106200,종로구,10.62
사직동,9,광화문스페이스본(101동~105동),2008,2020,11,25,11110,2,158.99,145000,종로구,14.5
무악동,89,경희궁롯데캐슬,2019,2020,11,28,11110,3,59.6737,127000,종로구,12.7
명륜1가,23,건양하늘터,2006,2020,12,24,11110,1,84.78,84000,종로구,8.4
명륜2가,237,명륜동주상복합아남아파트,1999,2020,12,30,11110,3,172.17,145000,종로구,14.5
숭인동,766,종로청계힐스테이트,2009,2020,12,31,11110,8,59.9426,85500,종로구,8.55
신영동,105-22,구암하이빌,2002,2020,12,29,11110,2,75.89,30000,종로구,3.0
창신동,702,창신쌍용1,1992,2020,12,23,11110,11,54.7,68000,종로구,6.8
익선동,55,현대뜨레비앙,2003,2020,12,26,11110,8,28.1,22500,종로구,2.25
창신동,702,창신쌍용1,1992,2020,12,19,11110,4,79.87,80700,종로구,8.07
평창동,596,삼성,1998,2020,12,17,11110,8,84.93,68000,종로구,6.8
평동,233,경희궁자이(3단지),2017,2020,12,31,11110,9,84.836,183000,종로구,18.3
연건동,195-10,이화에수풀,2014,2020,12,19,11110,9,16.98,19000,종로구,1.9
내수동,72,경희궁의아침3단지,2004,2021,1,17,11110,13,123.13,180000,종로구,18.0
내수동,71,경희궁의아침2단지,2004,2021,1,15,11110,4,174.55,175000,종로구,17.5
홍파동,199,경희궁자이(2단지),2017,2021,1,9,11110,4,84.907,175000,종로구,17.5
무악동,82,현대,2000,2021,1,2,11110,6,84.92,112400,종로구,11.24
